Time,Height,Fuel
0,0.0,1000
1,23.927190586289758,990
2,47.45793943379771,980
3,70.30514937932772,970
4,90.62323718245099,960
5,108.31979802831736,950
6,123.82489015663042,940
7,137.08438300129785,930
8,148.45478558121,920
9,158.29656608970998,910
10,166.93790513461707,900
11,174.59485776960707,890
12,182.37470969651133,880
13,189.02096692231385,870
14,196.05412646859457,860
15,203.04954858683612,850
16,207.77209189998624,840
17,212.26710838370363,830
18,217.35083437539396,820
19,222.7447062863954,810
20,227.61413674996075,800
21,233.02174421166333,790
22,237.36482279116083,780
23,242.2936096899444,770
24,247.38206580104654,760
25,251.4449955653172,750
26,254.84765091872393,740
27,258.96436605644396,730
28,261.95912669441645,720
29,265.9017636773777,710
30,267.47940835191457,700
31,269.95544111139,690
32,273.0113164812645,680
33,275.9793061398427,670
34,279.35411869852436,660
35,282.936537189373,650
36,283.5215256394313,640
37,284.9644109138179,630
38,287.66422382563394,620
39,291.12648657777885,610
40,295.260977349853,600
41,298.779796005562,590
42,302.480944118708,580
43,305.49980709601016,570
44,308.74568884698664,560
45,312.4710929004426,550
46,315.61327720891444,540
47,319.4704128848865,530
48,323.5801638084888,520
49,327.57086103449734,510
50,330.61643312623363,500
51,334.35039647455324,490
52,338.25821361795954,480
53,341.1190373971868,470
54,344.58426013585387,460
55,347.5434701139362,450
56,350.1421283394978,440
57,353.5387470281845,430
58,356.23936108683347,420
59,358.6299690965887,410
60,359.6724093013268,400
61,358.48228340439715,390
62,359.07150492197377,380
63,361.242866837558,370
64,363.43923310667753,360
65,364.2729480279261,350
66,365.65944908218967,340
67,368.21806557383184,330
68,370.3242080604402,320
69,372.6686984089221,310
70,374.329883884878,300
71,377.1798502166231,290
72,380.27252045848354,280
73,383.6097443941462,270
74,387.3299800807321,260
75,390.1173637773355,250
76,393.5219502434292,240
77,397.1019030750234,230
78,399.8284604334241,220
79,401.4261809265161,210
80,402.21206113770296,200
81,404.2918684691696,190
82,406.7860837379227,180
83,408.4532947115457,170
84,409.9659334025235,160
85,411.2631006917312,150
86,411.39367159069013,140
87,411.7329312875732,130
88,412.7482191891398,120
89,414.46404317480415,110
90,415.30188943044794,100
91,417.4738890944201,90
92,419.705853424887,80
93,421.8495625867561,70
94,424.7967227448629,60
95,428.0891279022781,50
96,429.58482772688507,40
97,431.16882622824863,30
98,433.2725896361071,20
99,435.86757237978475,10
100,437.9720935672211,0
101,437.64684786505467,0
102,436.0906002564069,0
103,433.90711868980975,0
104,431.3995109700655,0
105,428.71985246294844,0
106,425.9444657408255,0
107,423.11165260107975,0
108,420.24059665662446,0
109,417.3408435490912,0
110,414.4170647801021,0
111,411.471457162713,0
112,408.5049544234021,0
113,405.51784054562245,0
114,402.5100609898698,0
115,399.48138090823,0
116,396.43146564236207,0
117,393.35992162250636,0
118,390.26631701952715,0
119,387.1501920021057,0
120,384.011063628355,0
121,380.84842794563684,0
122,377.66176061848415,0
123,374.45051676227644,0
124,371.21413033026397,0
125,367.9520132312844,0
126,364.6635542672843,0
127,361.34811793373103,0
128,358.00504310173096,0
129,354.6336415876327,0
130,351.23319660864144,0
131,347.8029611186828,0
132,344.34215601595486,0
133,340.84996821151566,0
134,337.3255485464605,0
135,333.7680095435132,0
136,330.1764229770575,0
137,326.54981724367985,0
138,322.8871745131221,0
139,319.18742763708974,0
140,315.4494567905829,0
141,311.6720858172414,0
142,307.8540782465683,0
143,303.99413294672536,0
144,300.0908793718011,0
145,296.14287235691523,0
146,292.1485864081211,0
147,288.1064094266368,0
148,284.0146357982911,0
149,279.8714587689825,0
150,275.6749620151397,0
151,271.4231103043094,0
152,267.1137391246592,0
153,262.7445431428803,0
154,258.3130633270635,0
155,253.81667254385553,0
156,249.25255940659844,0
157,244.6177101120368,0
158,239.9088879560257,0
159,235.12261016159974,0
160,230.25512158335727,0
161,225.30236476730065,0
162,220.25994574110968,0
163,215.12309478120966,0
164,209.88662124330043,0
165,204.544861343554,0
166,199.09161752701425,0
167,193.5200877426181,0
168,187.8227825403042,0
169,181.99142738730572,0
170,176.0168469303327,0
171,169.8888270561384,0
172,163.59594945287296,0
173,157.1253918472873,0
174,150.46268504400533,0
175,143.59141511485694,0
176,136.49285527507536,0
177,129.1455066892185,0
178,121.5245199961235,0
179,113.60095869323574,0
180,105.3408500619149,0
181,96.70394648013995,0
182,87.64208558671594,0
183,78.09698488993179,0
184,67.99722318939087,0
185,57.25402671791916,0
186,45.755254213921276,0
187,33.35659044775677,0
188,19.868270674477692,0
189,5.034376621818003,0
